site,date,time,location,width,cm,depth,velocity,comments
ARRHON,27-Aug-18,14:19,up,66,16.5,12,0.02,
ARRHON,27-Aug-18,14:19,up,66,33,7,0.02,
ARRHON,27-Aug-18,14:19,up,66,49.5,6.5,0.01,
ARRHON,27-Aug-18,14:47,down,28,7,8,0.07,
ARRHON,27-Aug-18,14:47,down,28,14,25,0.02,
ARRHON,27-Aug-18,14:47,down,28,21,27,0.01,
COLSPE,20-Jun-18,15:37,up,90,22,14,0.11,current meter might not have been calibrated
COLSPE,20-Jun-18,15:37,up,90,45,8,0.06,current meter might not have been calibrated
COLSPE,20-Jun-18,15:37,up,90,67,6,0.03,current meter might not have been calibrated
COLSPE,20-Jun-18,16:06,down,87,21,7,0.03,current meter might not have been calibrated
COLSPE,20-Jun-18,16:06,down,87,43.5,6,0.17,current meter might not have been calibrated
COLSPE,20-Jun-18,16:06,down,87,65,6,0.13,current meter might not have been calibrated
COLSPE,30-Jul-18,15:29,up,60,15,7,0.03,
COLSPE,30-Jul-18,15:29,up,60,30,6,0.04,
COLSPE,30-Jul-18,15:29,up,60,45,5,0.11,
COLSPE,30-Jul-18,15:18,down,55,13.75,6,0.08,
COLSPE,30-Jul-18,15:18,down,55,27.5,6,0.17,
COLSPE,30-Jul-18,15:18,down,55,41.25,4.5,0.11,
COLSPE,30-Aug-18,11:28,up,60,15,5,0.08,
COLSPE,30-Aug-18,11:28,up,60,30,5,0.08,
COLSPE,30-Aug-18,11:28,up,60,45,6,0.02,
COLSPE,30-Aug-18,11:40,down,60,15,8.5,0.03,
COLSPE,30-Aug-18,11:40,down,60,30,8,0.17,
COLSPE,30-Aug-18,11:40,down,60,45,7,0.02,
COLSPW,11-Jul-18,11:23,up,50,12.5,5,0.01,
COLSPW,11-Jul-18,11:23,up,50,25,6,0.2,
COLSPW,11-Jul-18,11:23,up,50,37.5,4.5,0.03,
COLSPW,11-Jul-18,11:37,down,56,14,5,0.07,
COLSPW,11-Jul-18,11:37,down,56,28,4.5,0.01,
COLSPW,11-Jul-18,11:37,down,56,42,4.5,0.03,
GOBERN,22-Aug-18,11:23,up,80,20,4,0.19,
GOBERN,22-Aug-18,11:23,up,80,40,5.5,0.18,
GOBERN,22-Aug-18,11:23,up,80,60,7,0.11,
GOBERN,22-Aug-18,11:45,down,92,23,7.5,0.15,
GOBERN,22-Aug-18,11:45,down,92,46,7.5,0.15,
GOBERN,22-Aug-18,11:45,down,92,69,6,0.14,
HOTSPR,03-Jul-18,13:47,up,65,0.07,4,0.07,
HOTSPR,03-Jul-18,13:47,up,65,0.15,5,0.15,
HOTSPR,03-Jul-18,13:47,up,65,0.16,4.5,0.16,
HOTSPR,03-Jul-18,14:15,down,70,17.5,4,0.1,
HOTSPR,03-Jul-18,14:15,down,70,35,5,0.12,
HOSTPR,03-Jul-18,14:15,down,70,52.5,4,0.13,
HOTSPR,30-Aug-18,13:21,down,62,15.5,4.5,0.09,accidentally took second measurements because forgot that we previously took them
HOTSPR,30-Aug-18,13:21,down,62,31,5,0.08,accidentally took second measurements because forgot that we previously took them
HOTSPR,30-Aug-18,13:21,down,62,46.5,5.5,0.14,accidentally took second measurements because forgot that we previously took them
HOTSPR,30-Aug-18,13:00,up,40,10,7,0.14,accidentally took second measurements because forgot that we previously took them
HOTSPR,30-Aug-18,13:00,up,40,20,7.5,0.08,accidentally took second measurements because forgot that we previously took them
HOTSPR,30-Aug-18,13:00,up,40,30,6,0.19,accidentally took second measurements because forgot that we previously took them
HOTSPR,12-Sep-18,13:19,up,40,10,5.5,0.4,
HOTSPR,12-Sep-18,13:19,up,40,20,4.5,0.02,
HOTSPR,12-Sep-18,13:19,up,40,30,6,0.12,
HOTSPR,12-Sep-18,13:30,down,44,11,6,0.01,
HOTSPR,12-Sep-18,13:30,down,44,22,5,0.24,
HOTSPR,12-Sep-18,13:30,down,44,33,4.5,0.09,
MARYGN,31-Jul-18,14:33,down,55,13.75,6,0.07,
MARYGN,31-Jul-18,14:33,down,55,27.5,8.5,0.08,
MARYGN,31-Jul-18,14:33,down,55,42.25,4.5,0.18,
MARYGN,31-Jul-18,14:12,up,164,27.5,6.5,0.03,
MARYGN,31-Jul-18,14:12,up,164,55,5,0.1,
MARYGN,31-Jul-18,14:12,up,164,82,5,0.03,
MARYGN,31-Jul-18,14:12,up,164,109.5,5,0.03,
MARYGN,31-Jul-18,14:12,up,164,137,4.5,0.03,
RATTLE,26-Jun-18,16:39,down,102,17,7,0.03,
RATTLE,26-Jun-18,16:39,down,102,34,87,0.03,
RATTLE,26-Jun-18,16:39,down,102,51,48,0.05,
RATTLE,26-Jun-18,16:39,down,102,68,49,0.02,
RATTLE,26-Jun-18,16:39,down,102,85,31,0.01,
RATTLE,26-Jun-18,16:16,up,50,12.5,11,0.03,
RATTLE,26-Jun-18,16:16,up,50,25,7,0.03,
RATTLE,26-Jun-18,16:16,up,50,37.5,5,0.05,
ROMERO,30-Jul-18,11:19,up,70,17.5,4,0.31,
ROMERO,30-Jul-18,11:19,up,70,35,5.5,0.04,
ROMERO,30-Jul-18,11:19,up,70,52.5,4.5,0.22,
ROMERO,30-Jul-18,11:34,down,54,13.5,5,0.22,
ROMERO,30-Jul-18,11:34,down,54,27,5,0.34,
ROMERO,30-Jul-18,11:34,down,54,40.5,5.5,0.2,
ROMERO,03-Sep-18,12:55,up,70,17.5,7,0.22,
ROMERO,03-Sep-18,12:55,up,70,35,5.5,0.12,
ROMERO,03-Sep-18,12:55,up,70,52.5,6,0.1,
ROMERO,03-Sep-18,13:03,down,54,13.5,4.5,0.17,
ROMERO,03-Sep-18,13:03,down,54,27,5,0.18,
ROMERO,03-Sep-18,13:03,down,54,40.5,5,0.19,
SANOFO,22-Jul-18,14:37,up,60,15,4.5,0.03,
SANOFO,22-Jul-18,14:37,up,60,30,4.5,0.03,
SANOFO,22-Jul-18,14:37,up,60,45,4,0.03,
SANOFO,22-Jul-18,14:56,down,38,9.5,5,0.03,
SANOFO,22-Jul-18,14:56,down,38,19,5.5,0.01,
SANOFO,22-Jul-18,14:56,down,38,28.5,4.5,0.02,
SANROQ,12-Jul-18,11:55,down,6,3,4,0.06,
SANROQ,12-Jul-18,11:30,up,0,NA,NA,NA,
SANYSI,17-Jul-18,11:45,up,60,15,5.5,0.03,
SANYSI,17-Jul-18,11:45,up,60,30,7.5,0.41,
SANYSI,17-Jul-18,11:45,up,60,45,7,0.44,
SANYSI,17-Jul-18,12:00,down,128,21.3,18.5,0.03,
SANYSI,17-Jul-18,12:00,down,128,42.6,16,0.02,
SANYSI,17-Jul-18,12:00,down,128,64,15,0.04,
SANYSI,17-Jul-18,12:00,down,128,85.3,12.5,0.03,
SANYSI,17-Jul-18,12:00,down,128,106.6,8.5,0.07,
SANYSI,13-Sep-18,16:33,up,40,10,5,0.2,
SANYSI,13-Sep-18,16:33,up,40,20,6,0.37,
SANYSI,13-Sep-18,16:33,up,40,30,6,0.19,
SANYSI,13-Sep-18,16:53,down,72,18,6,0.08,
SANYSI,13-Sep-18,16:53,down,72,36,6.5,0.13,
SANYSI,13-Sep-18,16:53,down,72,54,5.5,0.1,
